time_s,omega_deg_per_s
32.5667,-0.701438
32.6000,-0.699480
32.6333,-0.697576
32.6667,-0.691684
32.7000,-0.688747
32.7333,-0.691388
32.7667,-0.688925
32.8000,-0.689198
32.8333,-0.689562
32.8667,-0.687413
32.9000,-0.685551
32.9333,-0.685264
32.9667,-0.704548
33.0000,-0.702162
33.0333,-0.700053
33.0667,-0.677842
33.1000,-0.675401
33.1333,-0.674672
33.1667,-0.674650
33.2000,-0.673853
33.2333,-0.674254
33.2667,-0.673689
33.3000,-0.672209
33.3333,-0.668033
33.3667,-0.667114
33.4000,-0.660479
33.4333,-0.659997
33.4667,-0.657547
33.5000,-0.640139
33.5333,-0.639278
33.5667,-0.637261
33.6000,-0.650985
33.6333,-0.643991
33.6667,-0.642607
33.7000,-0.644647
33.7333,-0.644292
33.7667,-0.649733
33.8000,-0.648636
33.8333,-0.650894
33.8667,-0.653890
33.9000,-0.636136
33.9333,-0.631997
33.9667,-0.628264
34.0000,-0.647634
34.0333,-0.645580
34.0667,-0.643140
34.1000,-0.642748
34.1333,-0.640490
34.1667,-0.640226
34.2000,-0.637544
34.2333,-0.633514
34.2667,-0.639315
34.3000,-0.634005
34.3333,-0.627503
34.3667,-0.624899
34.4000,-0.645020
34.4333,-0.640553
34.4667,-0.618742
34.5000,-0.616866
34.5333,-0.614999
34.5667,-0.615282
34.6000,-0.615200
34.6333,-0.612249
34.6667,-0.613192
34.7000,-0.608807
34.7333,-0.605437
34.7667,-0.602386
34.8000,-0.604686
34.8333,-0.600560
34.8667,-0.599194
34.9000,-0.600415
34.9333,-0.597933
34.9667,-0.596230
35.0000,-0.591194
35.0333,-0.585862
35.0667,-0.600856
35.1000,-0.581081
35.1333,-0.581818
35.1667,-0.581850
35.2000,-0.577752
35.2333,-0.576759
35.2667,-0.569560
35.3000,-0.567165
35.3333,-0.565235
35.3667,-0.559984
35.4000,-0.560103
35.4333,-0.556219
35.4667,-0.553068
35.5000,-0.530437
35.5333,-0.529203
35.5667,-0.527049
35.6000,-0.542754
35.6333,-0.540869
35.6667,-0.538460
35.7000,-0.535678
35.7333,-0.530824
35.7667,-0.528374
35.8000,-0.529444
35.8333,-0.531457
35.8667,-0.531748
35.9000,-0.510434
35.9333,-0.510634
35.9667,-0.508385
36.0000,-0.524700
36.0333,-0.521890
36.0667,-0.517432
36.1000,-0.513671
36.1333,-0.510160
36.1667,-0.507005
36.2000,-0.504491
36.2333,-0.503590
36.2667,-0.501336
36.3000,-0.493030
36.3333,-0.491792
36.3667,-0.489939
36.4000,-0.487188
36.4333,-0.484757
36.4667,-0.495130
36.5000,-0.494556
36.5333,-0.496113
36.5667,-0.477043
36.6000,-0.478373
36.6333,-0.478655
36.6667,-0.475732
36.7000,-0.473938
36.7333,-0.468847
36.7667,-0.466479
36.8000,-0.468947
36.8333,-0.461744
36.8667,-0.463720
36.9000,-0.460646
36.9333,-0.461088
36.9667,-0.460059
37.0000,-0.458042
37.0333,-0.458761
37.0667,-0.457919
37.1000,-0.439300
37.1333,-0.437055
37.1667,-0.449518
37.2000,-0.448397
37.2333,-0.447965
37.2667,-0.445993
37.3000,-0.438698
37.3333,-0.434664
37.3667,-0.431932
37.4000,-0.430785
37.4333,-0.426996
37.4667,-0.427310
37.5000,-0.409502
37.5333,-0.407607
37.5667,-0.407849
37.6000,-0.419164
37.6333,-0.418977
37.6667,-0.419815
37.7000,-0.420935
37.7333,-0.420152
37.7667,-0.420913
37.8000,-0.422834
37.8333,-0.419997
37.8667,-0.418618
37.9000,-0.415458
37.9333,-0.417133
37.9667,-0.405486
38.0000,-0.412411
38.0333,-0.410194
38.0667,-0.408550
38.1000,-0.408696
38.1333,-0.405718
38.1667,-0.403227
38.2000,-0.401369
38.2333,-0.399976
38.2667,-0.398514
38.3000,-0.393159
38.3333,-0.397267
38.3667,-0.395486
38.4000,-0.392936
38.4333,-0.392959
38.4667,-0.389016
38.5000,-0.387636
38.5333,-0.382664
38.5667,-0.387458
38.6000,-0.387126
38.6333,-0.388970
38.6667,-0.372792
38.7000,-0.369158
38.7333,-0.366886
38.7667,-0.365743
38.8000,-0.368352
38.8333,-0.368288
38.8667,-0.368707
38.9000,-0.366062
38.9333,-0.368102
38.9667,-0.366995
39.0000,-0.364618
39.0333,-0.364468
39.0667,-0.363840
39.1000,-0.353071
39.1333,-0.353198
39.1667,-0.348021
39.2000,-0.356454
39.2333,-0.351272
39.2667,-0.347429
39.3000,-0.345589
39.3333,-0.347497
39.3667,-0.343381
39.4000,-0.340148
39.4333,-0.337971
39.4667,-0.334802
39.5000,-0.324871
39.5333,-0.325103
39.5667,-0.325235
39.6000,-0.331255
39.6333,-0.330982
39.6667,-0.332234
39.7000,-0.331587
39.7333,-0.332216
39.7667,-0.330536
39.8000,-0.329834
39.8333,-0.325673
39.8667,-0.322339
39.9000,-0.319416
39.9333,-0.317312
39.9667,-0.316994
40.0000,-0.326274
40.0333,-0.322777
40.0667,-0.317349
40.1000,-0.314580
40.1333,-0.312486
40.1667,-0.312258
40.2000,-0.314225
40.2333,-0.314844
40.2667,-0.314061
40.3000,-0.310491
40.3333,-0.310009
40.3667,-0.305710
40.4000,-0.302787
40.4333,-0.301676
40.4667,-0.299845
40.5000,-0.298379
40.5333,-0.295829
40.5667,-0.292423
40.6000,-0.287414
40.6333,-0.285320
40.6667,-0.282615
40.7000,-0.279528
40.7333,-0.281340
40.7667,-0.283526
40.8000,-0.283089
40.8333,-0.280457
40.8667,-0.281522
40.9000,-0.280220
40.9333,-0.276623
40.9667,-0.276340
41.0000,-0.275020
41.0333,-0.272361
41.0667,-0.271022
41.1000,-0.260913
41.1333,-0.258208
41.1667,-0.257316
41.2000,-0.265403
41.2333,-0.265439
41.2667,-0.268344
41.3000,-0.267671
41.3333,-0.268190
41.3667,-0.269037
41.4000,-0.271860
41.4333,-0.270776
41.4667,-0.273290
41.5000,-0.264028
41.5333,-0.267361
41.5667,-0.268426
41.6000,-0.274901
41.6333,-0.275575
41.6667,-0.276413
41.7000,-0.274856
41.7333,-0.274929
41.7667,-0.274719
41.8000,-0.275967
41.8333,-0.273572
41.8667,-0.276431
41.9000,-0.276149
41.9333,-0.274396
41.9667,-0.275361
42.0000,-0.280479
42.0333,-0.283385
42.0667,-0.292455
42.1000,-0.293603
42.1333,-0.293707
42.1667,-0.298739
42.2000,-0.292819
